name,summary,last_release,status,requires,status.1,snyk,pip,libhunt
pytest-allure-spec-coverage,The pytest plugin aimed to display test coverage of the specs(requirements) in Allure,2021-10-26,,pytest,,https://snyk.io/advisor/python/pytest-allure-spec-coverage,https://pypi.org/project/pytest-allure-spec-coverage,
pytest-alphamoon,Static code checks used at Alphamoon,2021-12-30,5 - Production/Stable,pytest (>=3.5.0),,https://snyk.io/advisor/python/pytest-alphamoon,https://pypi.org/project/pytest-alphamoon,
pytest-analyzer,"this plugin allows to analyze tests in pytest project, collect test metadata and sync it with testomat.io TCM system",2024-02-21,,"pytest <8.0.0,>=7.3.1",,https://snyk.io/advisor/python/pytest-analyzer,https://pypi.org/project/pytest-analyzer,https://www.libhunt.com/r/pytest-alphamoon
pytest-android,"This fixture provides a configured “driver” for Android Automated Testing, using uiautomator2.",2019-02-21,3 - Alpha,pytest,,https://snyk.io/advisor/python/pytest-android,https://pypi.org/project/pytest-android,
pytest-anki,A pytest plugin for testing Anki add-ons,2022-07-31,4 - Beta,pytest (>=3.5.0),,https://snyk.io/advisor/python/pytest-anki,https://pypi.org/project/pytest-anki,
pytest-annotate,pytest-annotate: Generate PyAnnotate annotations from your pytest tests.,2022-06-07,3 - Alpha,"pytest (<8.0.0,>=3.2.0)",,https://snyk.io/advisor/python/pytest-annotate,https://pypi.org/project/pytest-annotate,
pytest-ansible,Plugin for pytest to simplify calling ansible modules from tests or fixtures,2024-07-10,5 - Production/Stable,pytest>=6,,https://snyk.io/advisor/python/pytest-ansible,https://pypi.org/project/pytest-ansible,https://www.libhunt.com/r/pytest-annotate
pytest-ansible-playbook,Pytest fixture which runs given ansible playbook file.,2019-03-08,4 - Beta,,,https://snyk.io/advisor/python/pytest-ansible-playbook,https://pypi.org/project/pytest-ansible-playbook,
pytest-ansible-playbook-runner,Pytest fixture which runs given ansible playbook file.,2020-12-02,4 - Beta,pytest (>=3.1.0),,https://snyk.io/advisor/python/pytest-ansible-playbook-runner,https://pypi.org/project/pytest-ansible-playbook-runner,
pytest-ansible-units,A pytest plugin for running unit tests within an ansible collection,2022-04-14,,,,https://snyk.io/advisor/python/pytest-ansible-units,https://pypi.org/project/pytest-ansible-units,
pytest-antilru,Bust functools.lru_cache when running pytest to avoid test pollution,2022-07-05,5 - Production/Stable,pytest,,https://snyk.io/advisor/python/pytest-antilru,https://pypi.org/project/pytest-antilru,
pytest-anyio,The pytest anyio plugin is built into anyio. You don’t need this package.,2021-06-29,,pytest,,https://snyk.io/advisor/python/pytest-anyio,https://pypi.org/project/pytest-anyio,
pytest-anything,Pytest fixtures to assert anything and something,2024-01-18,,pytest,,https://snyk.io/advisor/python/pytest-anything,https://pypi.org/project/pytest-anything,https://www.libhunt.com/r/pytest-anyio
pytest-aoc,Downloads puzzle inputs for Advent of Code and synthesizes PyTest fixtures,2023-12-02,5 - Production/Stable,pytest ; extra == ‘test’,,https://snyk.io/advisor/python/pytest-aoc,https://pypi.org/project/pytest-aoc,
pytest-aoreporter,pytest report,2022-06-27,,,,https://snyk.io/advisor/python/pytest-aoreporter,https://pypi.org/project/pytest-aoreporter,
pytest-api,An ASGI middleware to populate OpenAPI Specification examples from pytest functions,2022-05-12,,"pytest (>=7.1.1,<8.0.0)",,https://snyk.io/advisor/python/pytest-api,https://pypi.org/project/pytest-api,
pytest-api-soup,Validate multiple endpoints with unit testing using a single source of truth.,2022-08-27,,,,https://snyk.io/advisor/python/pytest-api-soup,https://pypi.org/project/pytest-api-soup,
pytest-apistellar,apistellar plugin for pytest.,2019-06-18,,,,https://snyk.io/advisor/python/pytest-apistellar,https://pypi.org/project/pytest-apistellar,
pytest-apiver,,2024-06-21,,pytest,,https://snyk.io/advisor/python/pytest-apiver,https://pypi.org/project/pytest-apiver,https://www.libhunt.com/r/pytest-apistellar
pytest-appengine,AppEngine integration that works well with pytest-django,2017-02-27,,,,https://snyk.io/advisor/python/pytest-appengine,https://pypi.org/project/pytest-appengine,
pytest-appium,Pytest plugin for appium,2019-12-05,,,,https://snyk.io/advisor/python/pytest-appium,https://pypi.org/project/pytest-appium,
pytest-approvaltests,A plugin to use approvaltests with pytest,2022-05-08,4 - Beta,pytest (>=7.0.1),,https://snyk.io/advisor/python/pytest-approvaltests,https://pypi.org/project/pytest-approvaltests,
pytest-approvaltests-geo,Extension for ApprovalTests.Python specific to geo data verification,2024-02-05,5 - Production/Stable,pytest,,https://snyk.io/advisor/python/pytest-approvaltests-geo,https://pypi.org/project/pytest-approvaltests-geo,https://www.libhunt.com/r/pytest-approvaltests
pytest-archon,Rule your architecture like a real developer,2023-12-18,5 - Production/Stable,pytest >=7.2,,https://snyk.io/advisor/python/pytest-archon,https://pypi.org/project/pytest-archon,
pytest-argus,pyest results colection plugin,2021-06-24,5 - Production/Stable,pytest (>=6.2.4),,https://snyk.io/advisor/python/pytest-argus,https://pypi.org/project/pytest-argus,
pytest-arraydiff,pytest plugin to help with comparing array output from tests,2023-11-27,4 - Beta,pytest >=4.6,,https://snyk.io/advisor/python/pytest-arraydiff,https://pypi.org/project/pytest-arraydiff,
pytest-asgi-server,Convenient ASGI client/server fixtures for Pytest,2020-12-12,,pytest (>=5.4.1),,https://snyk.io/advisor/python/pytest-asgi-server,https://pypi.org/project/pytest-asgi-server,
pytest-aspec,A rspec format reporter for pytest,2023-12-20,4 - Beta,,,https://snyk.io/advisor/python/pytest-aspec,https://pypi.org/project/pytest-aspec,
pytest-asptest,test Answer Set Programming programs,2018-04-28,4 - Beta,,,https://snyk.io/advisor/python/pytest-asptest,https://pypi.org/project/pytest-asptest,
pytest-assertcount,Plugin to count actual number of asserts in pytest,2022-10-23,,pytest (>=5.0.0),,https://snyk.io/advisor/python/pytest-assertcount,https://pypi.org/project/pytest-assertcount,
pytest-assertions,Pytest Assertions,2022-04-27,,,,https://snyk.io/advisor/python/pytest-assertions,https://pypi.org/project/pytest-assertions,
pytest-assertutil,pytest-assertutil,2019-05-10,,,,https://snyk.io/advisor/python/pytest-assertutil,https://pypi.org/project/pytest-assertutil,
pytest-assert-utils,Useful assertion utilities for use with pytest,2022-04-14,3 - Alpha,,,https://snyk.io/advisor/python/pytest-assert-utils,https://pypi.org/project/pytest-assert-utils,
pytest-assist,load testing library,2024-06-24,,pytest,,https://snyk.io/advisor/python/pytest-assist,https://pypi.org/project/pytest-assist,https://www.libhunt.com/r/pytest-assert-utils
pytest-assume,A pytest plugin that allows multiple failures per test,2021-06-24,,pytest (>=2.7),,https://snyk.io/advisor/python/pytest-assume,https://pypi.org/project/pytest-assume,
pytest-assurka,A pytest plugin for Assurka Studio,2022-08-04,,,,https://snyk.io/advisor/python/pytest-assurka,https://pypi.org/project/pytest-assurka,
pytest-ast-back-to-python,A plugin for pytest devs to view how assertion rewriting recodes the AST,2019-09-29,4 - Beta,,,https://snyk.io/advisor/python/pytest-ast-back-to-python,https://pypi.org/project/pytest-ast-back-to-python,
pytest-asteroid,PyTest plugin for docker-based testing on database images,2022-08-15,,"pytest (>=6.2.5,<8.0.0)",,https://snyk.io/advisor/python/pytest-asteroid,https://pypi.org/project/pytest-asteroid,
pytest-astropy,Meta-package containing dependencies for testing,2023-09-26,5 - Production/Stable,pytest >=4.6,,https://snyk.io/advisor/python/pytest-astropy,https://pypi.org/project/pytest-astropy,
pytest-astropy-header,pytest plugin to add diagnostic information to the header of the test output,2022-09-06,3 - Alpha,pytest (>=4.6),,https://snyk.io/advisor/python/pytest-astropy-header,https://pypi.org/project/pytest-astropy-header,
pytest-ast-transformer,,2019-05-04,3 - Alpha,pytest,,https://snyk.io/advisor/python/pytest-ast-transformer,https://pypi.org/project/pytest-ast-transformer,
pytest_async,pytest-async - Run your coroutine in event loop without decorator,2020-02-26,,,,https://snyk.io/advisor/python/pytest_async,https://pypi.org/project/pytest_async,
pytest-async-generators,Pytest fixtures for async generators,2023-07-05,,,,https://snyk.io/advisor/python/pytest-async-generators,https://pypi.org/project/pytest-async-generators,
pytest-asyncio,Pytest support for asyncio,2024-05-19,4 - Beta,"pytest<9,>=7.0.0",,https://snyk.io/advisor/python/pytest-asyncio,https://pypi.org/project/pytest-asyncio,https://www.libhunt.com/r/pytest-async-generators
pytest-asyncio-cooperative,Run all your asynchronous tests cooperatively.,2024-07-04,,,,https://snyk.io/advisor/python/pytest-asyncio-cooperative,https://pypi.org/project/pytest-asyncio-cooperative,https://www.libhunt.com/r/pytest-asyncio
pytest-asyncio-network-simulator,pytest-asyncio-network-simulator: Plugin for pytest for simulator the network in tests,2018-07-31,3 - Alpha,"pytest (<3.7.0,>=3.3.2)",,https://snyk.io/advisor/python/pytest-asyncio-network-simulator,https://pypi.org/project/pytest-asyncio-network-simulator,
pytest-async-mongodb,pytest plugin for async MongoDB,2017-10-18,5 - Production/Stable,pytest (>=2.5.2),,https://snyk.io/advisor/python/pytest-async-mongodb,https://pypi.org/project/pytest-async-mongodb,
pytest-async-sqlalchemy,Database testing fixtures using the SQLAlchemy asyncio API,2021-10-07,4 - Beta,pytest (>=6.0.0),,https://snyk.io/advisor/python/pytest-async-sqlalchemy,https://pypi.org/project/pytest-async-sqlalchemy,
pytest-atf-allure,基于allure-pytest进行自定义,2023-11-29,,"pytest (>=7.4.2,<8.0.0)",,https://snyk.io/advisor/python/pytest-atf-allure,https://pypi.org/project/pytest-atf-allure,
pytest-atomic,Skip rest of tests if previous test failed.,2018-11-24,4 - Beta,,,https://snyk.io/advisor/python/pytest-atomic,https://pypi.org/project/pytest-atomic,
pytest-attrib,pytest plugin to select tests based on attributes similar to the nose-attrib plugin,2016-05-24,4 - Beta,,,https://snyk.io/advisor/python/pytest-attrib,https://pypi.org/project/pytest-attrib,
pytest-attributes,A plugin that allows users to add attributes to their tests. These attributes can then be referenced by fixtures or the test itself.,2024-06-24,4 - Beta,pytest>=6.2.0,,https://snyk.io/advisor/python/pytest-attributes,https://pypi.org/project/pytest-attributes,https://www.libhunt.com/r/pytest-attrib
pytest-austin,Austin plugin for pytest,2020-10-11,4 - Beta,,,https://snyk.io/advisor/python/pytest-austin,https://pypi.org/project/pytest-austin,
pytest-autocap,automatically capture test & fixture stdout/stderr to files,2022-05-15,,"pytest (<7.2,>=7.1.2)",,https://snyk.io/advisor/python/pytest-autocap,https://pypi.org/project/pytest-autocap,
pytest-autochecklog,automatically check condition and log all the checks,2015-04-25,4 - Beta,,,https://snyk.io/advisor/python/pytest-autochecklog,https://pypi.org/project/pytest-autochecklog,
pytest-automation,"pytest plugin for building a test suite, using YAML files to extend pytest parameterize functionality.",2024-04-24,,pytest>=7.0.0,,https://snyk.io/advisor/python/pytest-automation,https://pypi.org/project/pytest-automation,https://www.libhunt.com/r/pytest-autochecklog
pytest-automock,Pytest plugin for automatical mocks creation,2023-05-16,,pytest ; extra == ‘dev’,,https://snyk.io/advisor/python/pytest-automock,https://pypi.org/project/pytest-automock,
pytest-auto-parametrize,pytest plugin: avoid repeating arguments in parametrize,2016-10-02,3 - Alpha,,,https://snyk.io/advisor/python/pytest-auto-parametrize,https://pypi.org/project/pytest-auto-parametrize,
pytest-autotest,"This fixture provides a configured “driver” for Android Automated Testing, using uiautomator2.",2021-08-25,,pytest,,https://snyk.io/advisor/python/pytest-autotest,https://pypi.org/project/pytest-autotest,
pytest-aux,templates/examples and aux for pytest,2024-07-05,,,,https://snyk.io/advisor/python/pytest-aux,https://pypi.org/project/pytest-aux,https://www.libhunt.com/r/pytest-autotest
pytest-aviator,Aviator’s Flakybot pytest plugin that automatically reruns flaky tests.,2022-11-04,4 - Beta,pytest,,https://snyk.io/advisor/python/pytest-aviator,https://pypi.org/project/pytest-aviator,
pytest-avoidance,Makes pytest skip tests that don not need rerunning,2019-05-23,4 - Beta,pytest (>=3.5.0),,https://snyk.io/advisor/python/pytest-avoidance,https://pypi.org/project/pytest-avoidance,
pytest-aws,pytest plugin for testing AWS resource configurations,2017-10-04,4 - Beta,,,https://snyk.io/advisor/python/pytest-aws,https://pypi.org/project/pytest-aws,
pytest-aws-apigateway,pytest plugin for AWS ApiGateway,2024-05-24,4 - Beta,pytest,,https://snyk.io/advisor/python/pytest-aws-apigateway,https://pypi.org/project/pytest-aws-apigateway,https://www.libhunt.com/r/pytest-aws
pytest-aws-config,Protect your AWS credentials in unit tests,2021-05-28,,,,https://snyk.io/advisor/python/pytest-aws-config,https://pypi.org/project/pytest-aws-config,
pytest-aws-fixtures,A series of fixtures to use in integration tests involving actual AWS services.,2024-02-02,,"pytest (>=8.0.0,<9.0.0)",,https://snyk.io/advisor/python/pytest-aws-fixtures,https://pypi.org/project/pytest-aws-fixtures,https://www.libhunt.com/r/pytest-aws-config
pytest-axe,pytest plugin for axe-selenium-python,2018-11-12,,pytest (>=3.0.0),,https://snyk.io/advisor/python/pytest-axe,https://pypi.org/project/pytest-axe,
pytest-axe-playwright-snapshot,A pytest plugin that runs Axe-core on Playwright pages and takes snapshots of the results.,2023-07-25,,pytest,,https://snyk.io/advisor/python/pytest-axe-playwright-snapshot,https://pypi.org/project/pytest-axe-playwright-snapshot,
pytest-azure,Pytest utilities and mocks for Azure,2023-01-18,3 - Alpha,pytest,,https://snyk.io/advisor/python/pytest-azure,https://pypi.org/project/pytest-azure,
pytest-azure-devops,Simplifies using azure devops parallel strategy (https://docs.microsoft.com/en-us/azure/devops/pipelines/test/parallel-testing-any-test-runner) with pytest.,2022-06-20,4 - Beta,pytest (>=3.5.0),,https://snyk.io/advisor/python/pytest-azure-devops,https://pypi.org/project/pytest-azure-devops,
pytest-azurepipelines,Formatting PyTest output for Azure Pipelines UI,2023-10-06,5 - Production/Stable,pytest (>=5.0.0),,https://snyk.io/advisor/python/pytest-azurepipelines,https://pypi.org/project/pytest-azurepipelines,
pytest-bandit,A bandit plugin for pytest,2021-02-23,4 - Beta,pytest (>=3.5.0),,https://snyk.io/advisor/python/pytest-bandit,https://pypi.org/project/pytest-bandit,
pytest-bandit-xayon,A bandit plugin for pytest,2022-10-17,4 - Beta,pytest (>=3.5.0),,https://snyk.io/advisor/python/pytest-bandit-xayon,https://pypi.org/project/pytest-bandit-xayon,
pytest-base-url,pytest plugin for URL based testing,2024-01-31,5 - Production/Stable,pytest>=7.0.0,,https://snyk.io/advisor/python/pytest-base-url,https://pypi.org/project/pytest-base-url,https://www.libhunt.com/r/pytest-bandit-xayon
pytest-batch-regression,A pytest plugin to repeat the entire test suite in batches.,2024-05-08,,pytest>=6.0.0,,https://snyk.io/advisor/python/pytest-batch-regression,https://pypi.org/project/pytest-batch-regression,https://www.libhunt.com/r/pytest-base-url
pytest-bazel,A pytest runner with bazel support,2024-07-12,4 - Beta,pytest,,https://snyk.io/advisor/python/pytest-bazel,https://pypi.org/project/pytest-bazel,https://www.libhunt.com/r/pytest-batch-regression
pytest-bdd,BDD for pytest,2024-06-04,6 - Mature,pytest>=6.2.0,,https://snyk.io/advisor/python/pytest-bdd,https://pypi.org/project/pytest-bdd,https://www.libhunt.com/r/pytest-bazel
pytest-bdd-html,pytest plugin to display BDD info in HTML test report,2022-11-22,3 - Alpha,"pytest (!=6.0.0,>=5.0)",,https://snyk.io/advisor/python/pytest-bdd-html,https://pypi.org/project/pytest-bdd-html,
pytest-bdd-ng,BDD for pytest,2023-12-31,4 - Beta,pytest >=5.0,,https://snyk.io/advisor/python/pytest-bdd-ng,https://pypi.org/project/pytest-bdd-ng,
pytest-bdd-report,A pytest-bdd plugin for generating useful and informative BDD test reports,2024-05-20,,pytest >=7.1.3,,https://snyk.io/advisor/python/pytest-bdd-report,https://pypi.org/project/pytest-bdd-report,https://www.libhunt.com/r/pytest-bdd-ng
pytest-bdd-splinter,Common steps for pytest bdd and splinter integration,2019-08-12,5 - Production/Stable,pytest (>=4.0.0),,https://snyk.io/advisor/python/pytest-bdd-splinter,https://pypi.org/project/pytest-bdd-splinter,
pytest-bdd-web,A simple plugin to use with pytest,2020-01-02,4 - Beta,pytest (>=3.5.0),,https://snyk.io/advisor/python/pytest-bdd-web,https://pypi.org/project/pytest-bdd-web,
pytest-bdd-wrappers,,2020-02-11,2 - Pre-Alpha,,,https://snyk.io/advisor/python/pytest-bdd-wrappers,https://pypi.org/project/pytest-bdd-wrappers,
pytest-beakerlib,A pytest plugin that reports test results to the BeakerLib framework,2017-03-17,5 - Production/Stable,pytest,,https://snyk.io/advisor/python/pytest-beakerlib,https://pypi.org/project/pytest-beakerlib,
pytest-beartype,Pytest plugin to run your tests with beartype checking enabled.,2024-01-25,,pytest,,https://snyk.io/advisor/python/pytest-beartype,https://pypi.org/project/pytest-beartype,https://www.libhunt.com/r/pytest-beakerlib
pytest-bec-e2e,BEC pytest plugin for end-to-end tests,2024-07-08,3 - Alpha,pytest,,https://snyk.io/advisor/python/pytest-bec-e2e,https://pypi.org/project/pytest-bec-e2e,https://www.libhunt.com/r/pytest-beartype
pytest-beds,Fixtures for testing Google Appengine (GAE) apps,2016-06-07,4 - Beta,,,https://snyk.io/advisor/python/pytest-beds,https://pypi.org/project/pytest-beds,
pytest-beeprint,use icdiff for better error messages in pytest assertions,2023-07-04,4 - Beta,,,https://snyk.io/advisor/python/pytest-beeprint,https://pypi.org/project/pytest-beeprint,
pytest-bench,Benchmark utility that plugs into pytest.,2014-07-21,3 - Alpha,,,https://snyk.io/advisor/python/pytest-bench,https://pypi.org/project/pytest-bench,
pytest-benchmark,A ``pytest`` fixture for benchmarking code. It will group the tests into rounds that are calibrated to the chosen timer.,2022-10-25,5 - Production/Stable,pytest (>=3.8),,https://snyk.io/advisor/python/pytest-benchmark,https://pypi.org/project/pytest-benchmark,
pytest-better-datadir,A small example package,2023-03-13,,,,https://snyk.io/advisor/python/pytest-better-datadir,https://pypi.org/project/pytest-better-datadir,
pytest-better-parametrize,Better description of parametrized test cases,2024-03-05,4 - Beta,pytest >=6.2.0,,https://snyk.io/advisor/python/pytest-better-parametrize,https://pypi.org/project/pytest-better-parametrize,https://www.libhunt.com/r/pytest-better-datadir
pytest-bg-process,Pytest plugin to initialize background process,2022-01-24,4 - Beta,pytest (>=3.5.0),,https://snyk.io/advisor/python/pytest-bg-process,https://pypi.org/project/pytest-bg-process,
pytest-bigchaindb,A BigchainDB plugin for pytest.,2022-01-24,4 - Beta,,,https://snyk.io/advisor/python/pytest-bigchaindb,https://pypi.org/project/pytest-bigchaindb,
pytest-bigquery-mock,Provides a mock fixture for python bigquery client,2022-12-28,,pytest (>=5.0),,https://snyk.io/advisor/python/pytest-bigquery-mock,https://pypi.org/project/pytest-bigquery-mock,
pytest-bisect-tests,Find tests leaking state and affecting other,2024-06-09,,,,https://snyk.io/advisor/python/pytest-bisect-tests,https://pypi.org/project/pytest-bisect-tests,https://www.libhunt.com/r/pytest-bigquery-mock
pytest-black,A pytest plugin to enable format checking with black,2020-10-05,4 - Beta,,,https://snyk.io/advisor/python/pytest-black,https://pypi.org/project/pytest-black,
pytest-black-multipy,Allow ‘–black’ on older Pythons,2021-01-14,5 - Production/Stable,"pytest (!=3.7.3,>=3.5) ; extra == ‘testing’",,https://snyk.io/advisor/python/pytest-black-multipy,https://pypi.org/project/pytest-black-multipy,
pytest-black-ng,A pytest plugin to enable format checking with black,2022-10-20,4 - Beta,pytest (>=7.0.0),,https://snyk.io/advisor/python/pytest-black-ng,https://pypi.org/project/pytest-black-ng,
pytest-blame,A pytest plugin helps developers to debug by providing useful commits history.,2019-05-04,,pytest (>=4.4.0),,https://snyk.io/advisor/python/pytest-blame,https://pypi.org/project/pytest-blame,
pytest-blender,Blender Pytest plugin.,2023-08-10,,pytest ; extra == ‘dev’,,https://snyk.io/advisor/python/pytest-blender,https://pypi.org/project/pytest-blender,
pytest-blink1,Pytest plugin to emit notifications via the Blink(1) RGB LED,2018-01-07,4 - Beta,,,https://snyk.io/advisor/python/pytest-blink1,https://pypi.org/project/pytest-blink1,
pytest-blockage,Disable network requests during a test run.,2021-12-21,,pytest,,https://snyk.io/advisor/python/pytest-blockage,https://pypi.org/project/pytest-blockage,
pytest-blocker,pytest plugin to mark a test as blocker and skip all other tests,2015-09-07,4 - Beta,,,https://snyk.io/advisor/python/pytest-blocker,https://pypi.org/project/pytest-blocker,
pytest-blue,A pytest plugin that adds a `blue` fixture for printing stuff in blue.,2022-09-05,,,,https://snyk.io/advisor/python/pytest-blue,https://pypi.org/project/pytest-blue,
pytest-board,Local continuous test runner with pytest and watchdog.,2019-01-20,,,,https://snyk.io/advisor/python/pytest-board,https://pypi.org/project/pytest-board,
pytest-boost-xml,Plugin for pytest to generate boost xml reports,2022-11-30,4 - Beta,,,https://snyk.io/advisor/python/pytest-boost-xml,https://pypi.org/project/pytest-boost-xml,
pytest-bootstrap,,2022-03-04,,,,https://snyk.io/advisor/python/pytest-bootstrap,https://pypi.org/project/pytest-bootstrap,
pytest-boto-mock,Thin-wrapper around the mock package for easier use with pytest,2024-06-05,5 - Production/Stable,pytest>=8.2.0,,https://snyk.io/advisor/python/pytest-boto-mock,https://pypi.org/project/pytest-boto-mock,https://www.libhunt.com/r/pytest-bootstrap
pytest-bpdb,A py.test plug-in to enable drop to bpdb debugger on test failure.,2015-01-19,2 - Pre-Alpha,,,https://snyk.io/advisor/python/pytest-bpdb,https://pypi.org/project/pytest-bpdb,
